Date,Price,Open,High,Low,Vol.,Change %
2019-06-27,10.96,10.89,11.54,10.27,-,-0.18%
2019-06-26,10.98,11.38,11.65,10.86,-,-3.94%
2019-06-25,11.43,11.26,11.61,10.92,-,1.33%
2019-06-24,11.28,10.7,11.43,10.39,-,5.92%
2019-06-21,10.65,10.16,10.92,9.73,-,3.60%
2019-06-20,10.28,10.61,10.92,9.26,-,-7.05%
2019-06-19,11.06,11.06,11.6,10.39,-,0.82%
2019-06-18,10.97,10.88,11.69,9.36,-,0.18%
2019-06-17,10.95,10.12,11.81,10.12,-,8.20%
2019-06-14,10.12,10.18,11.85,10.12,-,1.30%
2019-06-13,9.99,11.3,11.73,9.99,-,-11.28%
2019-06-12,11.26,10.75,12.07,10.75,-,-3.26%
2019-06-11,11.64,10.83,11.88,10.83,-,2.11%
2019-06-10,11.4,10.77,12.06,10.77,-,1.42%
2019-06-07,11.24,12.73,12.73,9.99,-,-12.12%
2019-06-06,12.79,12.39,13.12,11.88,-,1.35%
2019-06-05,12.62,13.27,13.52,11.99,-,-3.44%
2019-06-04,13.07,13.08,14.36,12.71,-,-2.32%
2019-06-03,13.38,13.85,15.46,13.01,-,-1.25%
2019-05-31,13.55,13.24,15.31,13.24,-,4.96%
2019-05-30,12.91,13.79,14.19,12.54,-,-6.72%
2019-05-29,13.84,12.41,14.97,12.41,-,12.34%
2019-05-28,12.32,12.93,14,12.32,-,-4.72%
2019-05-27,12.93,12.93,12.93,12.93,-,-0.15%
2019-05-24,12.95,13.34,13.73,12.44,-,-2.26%
2019-05-23,13.25,11.18,14.09,11.18,-,5.75%
2019-05-22,12.53,12.89,12.89,10.61,-,-2.94%
2019-05-21,12.91,12.01,12.91,11.05,-,6.52%
2019-05-20,12.12,10.44,13.56,10.44,-,4.84%
2019-05-17,11.56,12.02,13.62,10.5,-,-3.18%
2019-05-16,11.94,12.02,13.78,10.88,-,-11.23%
2019-05-15,13.45,14.04,16.38,11.72,-,-4.61%
2019-05-14,14.1,14.19,14.97,13.27,-,-0.84%
2019-05-13,14.22,13.98,16.75,6.58,-,-2.74%
2019-05-10,14.62,14.19,15.26,7.83,-,-1.95%
2019-05-09,14.91,12.95,16.82,7.79,-,11.19%
2019-05-08,13.41,13.35,15,12.71,-,-0.37%
2019-05-07,13.46,10.06,14.25,10.06,-,33.80%
2019-05-06,10.06,10.06,10.06,10.06,-,-5.81%
2019-05-03,10.68,11.73,11.73,10.48,-,-8.95%
2019-05-02,11.73,11.9,12.29,10.42,-,0.77%
2019-04-30,11.64,9.86,11.64,9.86,-,4.30%
2019-04-29,11.16,10.01,11.43,9.81,-,5.88%
2019-04-26,10.54,10.6,10.86,9.48,-,0.48%
