Date,Price,Open,High,Low,Vol.,Change %
27-Jun-19,10.96,10.89,11.54,10.27,-,-0.18%
26-Jun-19,10.98,11.38,11.65,10.86,-,-3.94%
25-Jun-19,11.43,11.26,11.61,10.92,-,1.33%
24-Jun-19,11.28,10.7,11.43,10.39,-,5.92%
21-Jun-19,10.65,10.16,10.92,9.73,-,3.60%
20-Jun-19,10.28,10.61,10.92,9.26,-,-7.05%
19-Jun-19,11.06,11.06,11.6,10.39,-,0.82%
18-Jun-19,10.97,10.88,11.69,9.36,-,0.18%
17-Jun-19,10.95,10.12,11.81,10.12,-,8.20%
14-Jun-19,10.12,10.18,11.85,10.12,-,1.30%
13-Jun-19,9.99,11.3,11.73,9.99,-,-11.28%
12-Jun-19,11.26,10.75,12.07,10.75,-,-3.26%
11-Jun-19,11.64,10.83,11.88,10.83,-,2.11%
10-Jun-19,11.4,10.77,12.06,10.77,-,1.42%
7-Jun-19,11.24,12.73,12.73,9.99,-,-12.12%
6-Jun-19,12.79,12.39,13.12,11.88,-,1.35%
5-Jun-19,12.62,13.27,13.52,11.99,-,-3.44%
4-Jun-19,13.07,13.08,14.36,12.71,-,-2.32%
3-Jun-19,13.38,13.85,15.46,13.01,-,-1.25%
31-May-19,13.55,13.24,15.31,13.24,-,4.96%
30-May-19,12.91,13.79,14.19,12.54,-,-6.72%
29-May-19,13.84,12.41,14.97,12.41,-,12.34%
28-May-19,12.32,12.93,14,12.32,-,-4.72%
27-May-19,12.93,12.93,12.93,12.93,-,-0.15%
24-May-19,12.95,13.34,13.73,12.44,-,-2.26%
23-May-19,13.25,11.18,14.09,11.18,-,5.75%
22-May-19,12.53,12.89,12.89,10.61,-,-2.94%
21-May-19,12.91,12.01,12.91,11.05,-,6.52%
20-May-19,12.12,10.44,13.56,10.44,-,4.84%
17-May-19,11.56,12.02,13.62,10.5,-,-3.18%
16-May-19,11.94,12.02,13.78,10.88,-,-11.23%
15-May-19,13.45,14.04,16.38,11.72,-,-4.61%
14-May-19,14.1,14.19,14.97,13.27,-,-0.84%
13-May-19,14.22,13.98,16.75,6.58,-,-2.74%
10-May-19,14.62,14.19,15.26,7.83,-,-1.95%
9-May-19,14.91,12.95,16.82,7.79,-,11.19%
8-May-19,13.41,13.35,15,12.71,-,-0.37%
7-May-19,13.46,10.06,14.25,10.06,-,33.80%
6-May-19,10.06,10.06,10.06,10.06,-,-5.81%
3-May-19,10.68,11.73,11.73,10.48,-,-8.95%
2-May-19,11.73,11.9,12.29,10.42,-,0.77%
30-Apr-19,11.64,9.86,11.64,9.86,-,4.30%
29-Apr-19,11.16,10.01,11.43,9.81,-,5.88%
26-Apr-19,10.54,10.6,10.86,9.48,-,0.48%
25-Apr-19,10.49,10.25,11.31,9.12,-,2.64%
24-Apr-19,10.22,10.69,10.85,9.37,-,-2.01%
23-Apr-19,10.43,8.04,10.43,8.04,-,21.28%
18-Apr-19,8.6,9.81,9.81,8.6,-,-12.60%
17-Apr-19,9.84,10.57,10.57,8.14,-,5.58%
16-Apr-19,9.32,10.12,10.12,8.47,-,-5.38%
15-Apr-19,9.85,10.06,10.56,9.44,-,-1.89%
12-Apr-19,10.04,9.16,10.08,8.73,-,4.15%
11-Apr-19,9.64,11.6,12.06,8.84,-,-17.40%
10-Apr-19,11.67,11.54,12.06,10.19,-,0.00%
9-Apr-19,11.67,12.29,12.46,11.15,-,1.04%
8-Apr-19,11.55,10.74,12.47,10.74,-,5.19%
5-Apr-19,10.98,11.4,12.05,10.54,-,-5.02%
4-Apr-19,11.56,12.26,12.47,11.07,-,-4.78%
3-Apr-19,12.14,12.85,12.85,10.4,-,-4.48%
2-Apr-19,12.71,12.68,13.26,11.8,-,-1.09%
1-Apr-19,12.85,12.64,13.54,12.1,-,0.00%
29-Mar-19,12.85,15.13,15.13,12.35,-,-9.82%
28-Mar-19,14.25,13.83,15.15,13.42,-,0.92%
27-Mar-19,14.12,13.12,15.27,12.82,-,3.44%
26-Mar-19,13.65,14.41,15.29,13.43,-,-3.87%
25-Mar-19,14.2,14.29,16.5,14.2,-,0.14%
22-Mar-19,14.18,12.14,15.26,11.7,-,13.17%
21-Mar-19,12.53,12.64,13.78,11.18,-,1.29%
20-Mar-19,12.37,12.24,13.11,10.98,-,1.81%
19-Mar-19,12.15,12.42,12.42,10.63,-,-0.57%
18-Mar-19,12.22,11.78,12.43,10.84,-,2.35%
15-Mar-19,11.94,11.61,13.14,11.01,-,-6.13%
14-Mar-19,12.72,12.06,13.48,11.55,-,-8.03%
13-Mar-19,13.83,11.89,13.97,11.1,-,3.98%
12-Mar-19,13.3,15.33,15.33,10.55,-,4.97%
11-Mar-19,12.67,11.59,14.06,10.93,-,-0.47%
8-Mar-19,12.73,14.9,16.15,10.37,-,-10.54%
7-Mar-19,14.23,13.05,15.75,10.02,-,9.97%
6-Mar-19,12.94,13.9,14.68,11.32,-,-3.00%
5-Mar-19,13.34,13.22,14.38,11.38,-,-0.07%
4-Mar-19,13.35,12.23,13.93,11.34,-,6.97%
1-Mar-19,12.48,13.41,14.14,11.23,-,-7.49%
28-Feb-19,13.49,13.63,14.09,12.15,-,-4.66%
27-Feb-19,14.15,12.39,14.35,3.45,-,8.26%
26-Feb-19,13.07,12.12,13.91,6.01,-,1.24%
25-Feb-19,12.91,11.78,13.54,5.32,-,3.86%
22-Feb-19,12.43,13.54,13.91,4.51,-,-10.32%
21-Feb-19,13.86,13.74,14.5,11.1,-,1.17%
20-Feb-19,13.7,12.84,13.86,10.63,-,-3.86%
19-Feb-19,14.25,14.36,14.65,11.65,-,0.28%
18-Feb-19,14.21,14.04,14.72,8.22,-,3.80%
15-Feb-19,13.69,12.89,17.31,12.23,-,5.31%
14-Feb-19,13,12.76,13.98,11.17,-,-4.34%
13-Feb-19,13.59,13.27,13.93,12.76,-,-3.96%
12-Feb-19,14.15,13.38,14.48,13.3,-,6.07%
11-Feb-19,13.34,15.04,16.13,13.34,-,-11.95%
8-Feb-19,15.15,12.69,15.32,12.57,-,10.42%
7-Feb-19,13.72,12.82,15.8,10.94,-,10.82%
6-Feb-19,12.38,11.84,13.33,10.93,-,-5.28%
5-Feb-19,13.07,13.98,14.81,12.32,-,4.98%
4-Feb-19,12.45,12.04,13.98,12.04,-,-3.49%
1-Feb-19,12.9,12.55,14.62,12.55,-,-7.39%
31-Jan-19,13.93,14.84,16.82,12.71,-,-6.64%
30-Jan-19,14.92,14.88,15.87,13.06,-,-5.27%
29-Jan-19,15.75,15.6,16.12,13.77,-,1.42%
28-Jan-19,15.53,13.9,16.65,13.41,-,13.44%
25-Jan-19,13.69,14.4,15.04,13.09,-,-13.63%
24-Jan-19,15.85,15.09,16.08,13.9,-,0.51%
23-Jan-19,15.77,15.84,16.78,13.83,-,-0.94%
22-Jan-19,15.92,15.84,16.23,13.67,-,4.46%
21-Jan-19,15.24,14.98,15.5,12.46,-,6.35%
18-Jan-19,14.33,16.24,16.24,13.37,-,-9.53%
17-Jan-19,15.84,16.77,16.77,14.33,-,-5.04%
16-Jan-19,16.68,15.03,16.92,14.72,-,3.09%
15-Jan-19,16.18,18.45,18.45,15.14,-,-12.73%
14-Jan-19,18.54,17.31,18.64,15.62,-,10.16%
11-Jan-19,16.83,20.42,20.42,15.4,-,-12.39%
10-Jan-19,19.21,15.77,19.21,15.77,-,10.09%
9-Jan-19,17.45,18.56,18.56,15.48,-,6.21%
8-Jan-19,16.43,18.52,18.82,16.43,-,-13.93%
7-Jan-19,19.09,18.78,20.23,17.28,-,4.55%
4-Jan-19,18.26,20.99,21.34,14.8,-,-16.20%
3-Jan-19,21.79,22.14,23.09,16.46,-,6.24%
2-Jan-19,20.51,22.09,23.55,20.51,-,-7.15%
31-Dec-18,22.09,22.41,23.27,20.2,-,-1.52%
28-Dec-18,22.43,24.75,24.75,20.83,-,-9.88%
27-Dec-18,24.89,20.2,25.33,18.22,-,23.28%
24-Dec-18,20.19,21.31,21.61,18.45,-,-12.45%
21-Dec-18,23.06,19.71,23.06,16.01,-,15.18%
20-Dec-18,20.02,17.93,20.47,17.49,-,-2.44%
19-Dec-18,20.52,20.78,20.99,14.95,-,-4.20%
18-Dec-18,21.42,19.44,21.42,15.29,-,9.96%
17-Dec-18,19.48,20.31,20.31,16.96,-,12.60%
14-Dec-18,17.3,21.57,21.57,16.73,-,-10.13%
13-Dec-18,19.25,18.76,20.81,16.84,-,2.07%
12-Dec-18,18.86,19.5,20.49,17.99,-,-4.70%
11-Dec-18,19.79,20.74,23.97,19.43,-,-12.36%
10-Dec-18,22.58,23.22,24.76,16.66,-,-3.05%
7-Dec-18,23.29,21.39,23.33,15,-,6.83%
6-Dec-18,21.8,18.17,24.24,17.8,-,11.45%
5-Dec-18,19.56,18.03,20.11,16.26,-,16.15%
4-Dec-18,16.84,15.29,17.09,14.48,-,4.53%
3-Dec-18,16.11,17.8,17.8,11.21,-,-9.80%
30-Nov-18,17.86,16.33,17.96,15.12,-,8.57%
29-Nov-18,16.45,15.86,17.8,14.63,-,-7.11%
28-Nov-18,17.71,18.33,18.33,14.04,-,13.09%
27-Nov-18,15.66,17.92,17.92,14.45,-,-11.92%
26-Nov-18,17.78,18.8,18.8,15.05,-,-0.17%
23-Nov-18,17.81,18.01,18.76,12.48,-,0.06%
22-Nov-18,17.8,16.98,17.94,14.54,-,4.95%
21-Nov-18,16.96,15.57,19.49,12.3,-,-10.45%
20-Nov-18,18.94,17.58,19.5,15.2,-,10.95%
19-Nov-18,17.07,18.58,18.58,13.81,-,-5.48%
16-Nov-18,18.06,15.43,23.02,12.22,-,-9.52%
15-Nov-18,19.96,19.55,22.64,14.51,-,-7.93%
14-Nov-18,21.68,16.6,21.68,14.9,-,31.00%
13-Nov-18,16.55,18.22,18.22,15.43,-,-7.13%
12-Nov-18,17.82,15.61,17.82,13.35,-,9.59%
9-Nov-18,16.26,15.45,16.26,13.59,-,4.63%
8-Nov-18,15.54,15.14,16.42,13.14,-,2.44%
7-Nov-18,15.17,17.22,17.22,13.98,-,-8.23%
6-Nov-18,16.53,16.24,16.86,14.27,-,10.64%
5-Nov-18,14.94,16.71,17.11,14.94,-,-7.49%
2-Nov-18,16.15,16.78,16.78,10.96,-,-4.44%
1-Nov-18,16.9,17.27,17.27,12.85,-,0.36%
31-Oct-18,16.84,18.62,18.62,11.98,-,-8.28%
30-Oct-18,18.36,17.85,19.68,16.21,-,-0.65%
29-Oct-18,18.48,16.6,18.97,16.6,-,-1.96%
26-Oct-18,18.85,16.47,20.97,16.47,-,14.80%
25-Oct-18,16.42,17.17,18.87,15.59,-,-4.92%
24-Oct-18,17.27,16.79,17.7,15.31,-,-2.15%
23-Oct-18,17.65,15.8,18.34,14.44,-,15.21%
22-Oct-18,15.32,15.63,16.02,14.11,-,-2.23%
19-Oct-18,15.67,15.48,16.52,14.53,-,1.36%
18-Oct-18,15.46,15.4,15.86,13.67,-,-0.39%
17-Oct-18,15.52,15.39,19.97,13.32,-,1.11%
16-Oct-18,15.35,15.99,15.99,14.62,-,-3.64%
15-Oct-18,15.93,16.25,17.34,14.65,-,0.50%
12-Oct-18,15.85,15.59,17.22,15.23,-,1.67%
11-Oct-18,15.59,15.21,18.55,15.11,-,1.70%
10-Oct-18,15.33,14.32,28.24,13.49,-,11.90%
9-Oct-18,13.7,14.49,15.28,13.63,-,-9.45%
8-Oct-18,15.13,13.59,15.13,13.21,-,11.33%
5-Oct-18,13.59,12.51,34.91,10.31,-,8.98%
4-Oct-18,12.47,10.96,12.75,10.91,-,13.99%
3-Oct-18,10.94,11.91,12.17,10.76,-,-9.59%
2-Oct-18,12.1,11.47,12.72,10.49,-,4.49%
1-Oct-18,11.58,11.68,12.14,11.3,-,-1.45%
28-Sep-18,11.75,11.3,13.53,10.8,-,3.89%
27-Sep-18,11.31,11.71,12.11,10.81,-,-1.48%
26-Sep-18,11.48,11.65,11.7,10.78,-,-0.78%
25-Sep-18,11.57,11.99,11.99,11.09,-,-2.45%
24-Sep-18,11.86,11.31,12.2,11.16,-,4.40%
21-Sep-18,11.36,12.25,12.25,10.55,-,-4.22%
20-Sep-18,11.86,12.18,12.34,11.04,-,-2.63%
19-Sep-18,12.18,12.5,12.73,11.1,-,-1.69%
18-Sep-18,12.39,12.76,12.84,11.71,-,2.99%
17-Sep-18,12.03,11.83,12.65,11.27,-,0.59%
14-Sep-18,11.96,12.11,12.63,11.23,-,-2.29%
13-Sep-18,12.24,13.08,13.37,11.12,-,-6.06%
12-Sep-18,13.03,13.01,13.38,12.43,-,-0.46%
11-Sep-18,13.09,13.47,14.07,12.75,-,-2.68%
10-Sep-18,13.45,13.64,14.07,13.06,-,-1.61%
7-Sep-18,13.67,14.06,14.67,13.13,-,0.59%
6-Sep-18,13.59,13.81,14.13,13.22,-,-1.66%
5-Sep-18,13.82,13.19,14.27,12.81,-,4.22%
4-Sep-18,13.26,12.84,14.08,11.77,-,3.92%
3-Sep-18,12.76,12.99,13.18,12.25,-,-1.24%
31-Aug-18,12.92,12.24,13.02,11.53,-,8.85%
30-Aug-18,11.87,11.25,12.74,10.99,-,3.76%
29-Aug-18,11.44,11.29,11.72,10.22,-,1.69%
28-Aug-18,11.25,10.68,11.25,9.96,-,5.34%
27-Aug-18,10.68,10.68,10.68,10.68,-,-1.11%
24-Aug-18,10.8,11.8,11.8,10.45,-,-6.74%
23-Aug-18,11.58,11.65,11.91,10.52,-,-1.61%
